# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	6947
#@/user_id	5130af82-6fd0-4a62-b531-2f7c0e3af40e
a 	啊	c=21 d=9.06571 t=6947
bu zhi suo cuo 	不知所措	c=1 d=0.88692 t=6947
cai 	才	c=3 d=1.90504 t=6947
cai cha che 	踩剎車	c=1 d=0.932394 t=6947
cai neng 	才能	c=1 d=0.955997 t=6947
cai niao 	菜鳥	c=1 d=0.995012 t=6947
cai qu 	採取	c=2 d=0.877328 t=6947
cai wu 	財務	c=1 d=0.357007 t=6947
cai yong 	採用	c=1 d=0.70822 t=6947
cao 	艹	c=2 d=1.97516 t=6947
cao bu 	艹不	c=3 d=2.20037 t=6947
cao bu na 	艹不那	c=1 d=0.697676 t=6947
cao bu neng na 	艹不能拿	c=1 d=0.694197 t=6947
cao dian 	槽點	c=1 d=0.680451 t=6947
cao ni 	草擬	c=2 d=2.04775 t=6947
cao ni duo me 	草擬多麼	c=1 d=0.995012 t=6947
cao ni ma 	草泥馬	c=3 d=2.13965 t=6947
cao ni ma de 	草泥馬的	c=4 d=3.78361 t=6947
cao zuo 	操作	c=9 d=5.50366 t=6947
ce lve 	策略	c=3 d=2.25157 t=6947
ce ping 	測評	c=6 d=3.12938 t=6947
ce shi 	測試	c=1 d=1 t=6947
ceng 	層	c=11 d=9.83317 t=6947
ceng ci 	層次	c=1 d=0.951229 t=6947
cha 	差	c=1 d=0.99005 t=6947
cha 	插	c=1 d=0.937067 t=6947
cha 	查	c=5 d=3.21733 t=6947
cha chu 	查出	c=1 d=0.970446 t=6947
cha kan 	查看	c=9 d=5.80663 t=6947
cha sheng 	差生	c=1 d=0.97531 t=6947
cha xun 	查詢	c=6 d=4.35898 t=6947
cha zhao 	查找	c=1 d=0.980199 t=6947
chan sheng 	產生	c=1 d=0.952562 t=6947
chang 	長	c=1 d=0.257947 t=6947
chang du 	長度	c=8 d=5.92849 t=6947
chang shi 	嘗試	c=5 d=4.94548 t=6947
chang yong 	常用	c=1 d=0.873716 t=6947
chao 	潮	c=19 d=14.5262 t=6947
chao 	超	c=1 d=0.951229 t=6947
che di 	徹底	c=1 d=0.588605 t=6947
che hui 	撤回	c=1 d=0.99005 t=6947
cheng 	城	c=1 d=0.843665 t=6947
cheng 	成	c=3 d=2.5131 t=6947
cheng 	稱	c=1 d=0.99005 t=6947
cheng gong 	成功	c=2 d=1.66901 t=6947
cheng shu 	成熟	c=5 d=3.62727 t=6947
cheng wei 	稱爲	c=1 d=1 t=6947
cheng xu 	程序	c=8 d=6.11224 t=6947
cheng zhe 	撐着	c=1 d=0.980199 t=6947
chi 	喫	c=7 d=4.37492 t=6947
chi chi 	吃吃	c=2 d=1.98012 t=6947
chi diao 	喫掉	c=1 d=0.995012 t=6947
chi wan 	喫完	c=1 d=0.913931 t=6947
chi xu 	持續	c=2 d=1.90248 t=6947
chi zheng 	持證	c=1 d=0.909373 t=6947
chi zhu 	喫住	c=1 d=0.965605 t=6947
chong 	衝	c=2 d=1.92218 t=6947
chong 	重	c=1 d=0.852144 t=6947
chong fen 	充分	c=1 d=0.856415 t=6947
chong qi 	重啓	c=1 d=0.83527 t=6947
chong tu 	衝突	c=4 d=2.70596 t=6947
chong xin 	重新	c=6 d=3.65858 t=6947
chou 	丑	c=1 d=0.995012 t=6947
chu 	出	c=2 d=1.90398 t=6947
chu 	處	c=2 d=1.35108 t=6947
chu chang 	出場	c=1 d=1 t=6947
chu kou 	出口	c=1 d=0.798516 t=6947
chu lai 	出來	c=4 d=2.94881 t=6947
chu le 	除了	c=1 d=0.941765 t=6947
chu li 	處理	c=1 d=0.83527 t=6947
chu sai 	初賽	c=3 d=2.72102 t=6947
chu shi hua 	初始化	c=1 d=0.852144 t=6947
chu shou 	觸手	c=1 d=0.985112 t=6947
chu tai 	出臺	c=2 d=1.02374 t=6947
chu xian 	出現	c=3 d=2.7173 t=6947
chuan 	穿	c=1 d=0.985112 t=6947
chuan qiang 	穿牆	c=1 d=0.647265 t=6947
chuan shu 	傳輸	c=4 d=2.90745 t=6947
chuang 	創	c=5 d=3.35728 t=6947
chuang 	窗	c=1 d=0.644036 t=6947
chuang jian 	創建	c=2 d=1.49199 t=6947
chuang kou 	窗口	c=1 d=0.980199 t=6947
chuang shang 	牀上	c=1 d=0.937067 t=6947
ci 	次	c=2 d=1.77606 t=6947
ci 	此	c=1 d=0.909373 t=6947
ci ci 	次次	c=1 d=0.970446 t=6947
ci ku 	詞庫	c=2 d=1.89819 t=6947
ci shi 	此時	c=1 d=0.941765 t=6947
ci shu 	次數	c=2 d=1.92669 t=6947
cong 	從	c=3 d=2.36106 t=6947
cong er 	從而	c=1 d=0.904837 t=6947
cu jin 	促進	c=1 d=0.946485 t=6947
cun 	存	c=2 d=1.81288 t=6947
cun chu 	存儲	c=7 d=5.29005 t=6947
cun zai 	存在	c=2 d=1.84956 t=6947
cuo 	錯	c=4 d=3.55158 t=6947
cuo shi 	措施	c=2 d=0.887195 t=6947
cuo wu 	錯誤	c=4 d=2.88162 t=6947
da 	大	c=7 d=4.53371 t=6947
da 	打	c=1 d=0.99005 t=6947
da ba 	打靶	c=1 d=0.980199 t=6947
da bao 	打包	c=1 d=0.729789 t=6947
da bei 	大杯	c=1 d=0.955997 t=6947
da bu dao 	達不到	c=1 d=0.941765 t=6947
da bu kai 	打不開	c=2 d=1.71498 t=6947
da fen qi 	達芬奇	c=1 d=1 t=6947
da jie 	打劫	c=1 d=0.995012 t=6947
da kai 	打開	c=7 d=4.55783 t=6947
da lei 	打雷	c=1 d=0.860708 t=6947
da liang 	大量	c=6 d=4.46737 t=6947
da mi 	大米	c=4 d=3.04274 t=6947
da nao 	大腦	c=6 d=5.12377 t=6947
da ren 	打人	c=1 d=0.900325 t=6947
da sa 	搭撒	c=2 d=1.9605 t=6947
da sa de 	搭撒的	c=2 d=1.70981 t=6947
da sai 	大賽	c=3 d=2.46496 t=6947
da sheng 	大聲	c=1 d=0.909373 t=6947
da shu ju 	大數據	c=1 d=0.965605 t=6947
da xiao 	大小	c=1 d=0.843665 t=6947
da xue 	大學	c=1 d=0.955997 t=6947
da yi 	大一	c=2 d=1.74962 t=6947
da yu 	大於	c=1 d=0.909373 t=6947
da yu 	大雨	c=2 d=1.97032 t=6947
da zhuan 	大專	c=1 d=0.970446 t=6947
dai 	帶	c=4 d=2.89205 t=6947
dai 	戴	c=1 d=0.318224 t=6947
dai biao 	代表	c=1 d=0.305746 t=6947
dai kuan 	帶寬	c=1 d=0.806541 t=6947
dai li 	代理	c=2 d=1.8202 t=6947
dai ma 	代碼	c=1 d=0.99005 t=6947
dai ming hun 	帶冥婚	c=1 d=0.316637 t=6947
dai you 	帶有	c=2 d=1.73559 t=6947
dan bai 	蛋白	c=0 d=0.0980199 t=6947
dan bai di zhi 	蛋白地址	c=1 d=0.985112 t=6947
dan ci 	單詞	c=1 d=0.99005 t=6947
dan shi 	但是	c=9 d=5.17437 t=6947
dan xiang 	單項	c=1 d=0.955997 t=6947
dan xuan ti 	單選題	c=2 d=1.8311 t=6947
dang qian 	當前	c=4 d=3.03692 t=6947
dao 	到	c=19 d=6.77398 t=6947
dao mao mao 	到貓貓	c=1 d=0.951229 t=6947
dao pian 	刀片	c=1 d=0.937067 t=6947
dao zhi 	導致	c=6 d=3.33402 t=6947
dao zi 	刀子	c=1 d=0.951229 t=6947
de 	的	c=262 d=29.6874 t=6947
de fen 	得分	c=2 d=1.83739 t=6947
de fu 	德福	c=0 d=0.0995012 t=6947
de fu a le tai 	德福阿勒泰	c=1 d=1 t=6947
dei fen 	得分	c=1 d=0.923116 t=6947
deng 	等	c=5 d=2.50236 t=6947
deng ji 	等級	c=3 d=1.14657 t=6947
deng ru 	登入	c=9 d=5.38274 t=6947
deng xia 	等下	c=1 d=0.980199 t=6947
deng yu 	等於	c=1 d=0.946485 t=6947
di 	第	c=2 d=1.42997 t=6947
di er 	迪爾	c=2 d=1.76063 t=6947
di er ci 	第二次	c=1 d=0.937067 t=6947
di pei 	低配	c=3 d=1.97776 t=6947
di san 	第三	c=3 d=2.75612 t=6947
di si 	第四	c=1 d=0.677057 t=6947
di yi ci 	第一次	c=1 d=0.88692 t=6947
di yi ge 	第一個	c=1 d=0.995012 t=6947
di zhi 	地址	c=7 d=5.36216 t=6947
dian 	電	c=1 d=0.918512 t=6947
dian 	點	c=4 d=2.4103 t=6947
dian dui dian 	點對點	c=1 d=0.980199 t=6947
dian ji 	點擊	c=1 d=0.826959 t=6947
dian jing 	電競	c=1 d=0.970446 t=6947
dian nao 	電腦	c=2 d=1.82807 t=6947
dian ying 	電影	c=1 d=0.634448 t=6947
dian yuan 	電源	c=2 d=1.81517 t=6947
diao 	掉	c=5 d=2.81846 t=6947
diao yong 	調用	c=2 d=1.75726 t=6947
ding 	頂	c=1 d=0.970446 t=6947
ding ji 	定級	c=1 d=0.647265 t=6947
ding qi 	定期	c=3 d=1.78544 t=6947
ding yi 	定義	c=1 d=0.860708 t=6947
diu 	丟	c=1 d=0.937067 t=6947
diu qi 	丟棄	c=1 d=0.900325 t=6947
diu shi 	丟失	c=1 d=0.99005 t=6947
dong 	東	c=1 d=0.856415 t=6947
dong 	洞	c=1 d=0.865022 t=6947
dong bu dong 	動不動	c=2 d=1.47169 t=6947
dong hua 	動畫	c=2 d=1.90795 t=6947
dong man 	動漫	c=1 d=0.995012 t=6947
dong tai 	動態	c=1 d=0.748264 t=6947
dong xi 	東西	c=8 d=4.54311 t=6947
dou 	都	c=19 d=7.28267 t=6947
dou bao 	豆包	c=2 d=1.99501 t=6947
dou shi 	都是	c=6 d=3.48759 t=6947
du 	度	c=1 d=1 t=6947
du 	讀	c=4 d=3.19348 t=6947
du li 	獨立	c=3 d=2.19125 t=6947
du li xian ka 	獨立顯卡	c=1 d=0.927743 t=6947
du miao 	獨苗	c=1 d=0.726149 t=6947
du zi 	肚子	c=5 d=4.25006 t=6947
duan 	端	c=1 d=1 t=6947
duan kou 	端口	c=12 d=6.2624 t=6947
dui 	對	c=14 d=9.59807 t=6947
dui biao 	對標	c=1 d=0.951229 t=6947
dui bu dui 	對不對	c=1 d=0.806541 t=6947
dui cheng 	對稱	c=7 d=4.33668 t=6947
dui xiang 	對象	c=1 d=0.759572 t=6947
duo 	多	c=10 d=4.31398 t=6947
duo ge 	多個	c=2 d=1.70905 t=6947
duo hua 	多花	c=1 d=0.869358 t=6947
duo ji 	多級	c=1 d=0.980199 t=6947
duo me 	多麼	c=0 d=0.099005 t=6947
duo ren 	多人	c=1 d=0.516851 t=6947
duo shao 	多少	c=3 d=2.40885 t=6947
duo xuan ti 	多選題	c=1 d=0.843665 t=6947
duo zuo 	多做	c=1 d=0.937067 t=6947
e 	額	c=1 d=0.927743 t=6947
e 	餓	c=2 d=1.59153 t=6947
e du zi 	餓肚子	c=1 d=0.995012 t=6947
e mo 	惡魔	c=1 d=0.951229 t=6947
e yi 	惡意	c=1 d=0.985112 t=6947
en 	嗯	c=2 d=1.84706 t=6947
er ceng 	二層	c=1 d=0.941765 t=6947
er ci yuan 	二次元	c=1 d=0.951229 t=6947
er ji 	二級	c=4 d=3.15517 t=6947
er qie 	而且	c=6 d=4.71386 t=6947
er shi 	而是	c=1 d=0.860708 t=6947
fa 	法	c=6 d=3.35011 t=6947
fa 	發	c=3 d=1.65412 t=6947
fa bu 	發佈	c=1 d=0.802519 t=6947
fa gui 	法規	c=1 d=0.771052 t=6947
fa le 	發了	c=1 d=0.955997 t=6947
fa lv 	法律	c=1 d=0.509156 t=6947
fa ren 	法人	c=2 d=1.94128 t=6947
fa song 	發送	c=2 d=1.38964 t=6947
fa xian 	發現	c=7 d=3.75605 t=6947
fa xing ban 	發行版	c=1 d=1 t=6947
fa zhan 	發展	c=5 d=2.6261 t=6947
fan chou 	範疇	c=4 d=2.01096 t=6947
fan hui 	返回	c=2 d=1.81449 t=6947
fan ji 	反擊	c=2 d=1.7142 t=6947
fan wei 	範圍	c=1 d=0.960789 t=6947
fan yi 	翻譯	c=3 d=2.7018 t=6947
fan ying 	反應	c=2 d=1.34232 t=6947
fang 	放	c=2 d=1.85508 t=6947
fang an 	方案	c=4 d=1.87912 t=6947
fang bian 	方便	c=1 d=0.878095 t=6947
fang da 	放大	c=2 d=1.64169 t=6947
fang dao 	放到	c=1 d=0.932394 t=6947
fang fa 	方法	c=9 d=5.84578 t=6947
fang hu 	防護	c=2 d=1.42773 t=6947
fang huo 	防火	c=1 d=0.99005 t=6947
fang huo qiang 	防火牆	c=2 d=1.89137 t=6947
fang shi 	方式	c=1 d=0.831104 t=6947
fang wen 	訪問	c=9 d=5.39709 t=6947
fang xian 	防線	c=1 d=0.965605 t=6947
fang xiang 	方向	c=2 d=0.905283 t=6947
fang zhen 	方針	c=1 d=0.715338 t=6947
fang zhi 	防止	c=5 d=3.4078 t=6947
fei 	菲	c=1 d=0.970446 t=6947
fei 	費	c=1 d=0.865022 t=6947
fei 	非	c=10 d=5.75072 t=6947
fei bi 	菲比	c=1 d=0.97531 t=6947
fei bi 	非比	c=2 d=1.92639 t=6947
fei chang 	非常	c=1 d=0.759572 t=6947
fei dui cheng 	非對稱	c=2 d=1.52504 t=6947
fen 	分	c=8 d=4.72326 t=6947
fen bian lv 	分辨率	c=1 d=0.970446 t=6947
fen bie 	分別	c=1 d=0.97531 t=6947
fen fa 	分發	c=1 d=0.873716 t=6947
fen ji 	分級	c=1 d=0.847894 t=6947
fen kai 	分開	c=1 d=0.97531 t=6947
fen lei 	分類	c=4 d=1.60522 t=6947
fen li 	分離	c=1 d=0.535261 t=6947
fen li qi 	分離器	c=1 d=0.860708 t=6947
fen pei 	分配	c=1 d=0.264477 t=6947
fen wei 	分爲	c=3 d=2.62117 t=6947
fen xi 	分析	c=6 d=2.85326 t=6947
fen zhong 	分鐘	c=1 d=0.99005 t=6947
fen zu 	分組	c=5 d=3.7678 t=6947
feng 	風	c=1 d=0.932394 t=6947
feng ge 	風格	c=1 d=0.985112 t=6947
feng rao 	豐饒	c=1 d=0.99005 t=6947
feng xian 	風險	c=4 d=2.73393 t=6947
fu 	副	c=5 d=3.68548 t=6947
fu gai 	覆蓋	c=1 d=0.980199 t=6947
fu he 	符合	c=4 d=2.51008 t=6947
fu jian 	福建	c=1 d=0.970446 t=6947
fu wu 	服務	c=1 d=0.965605 t=6947
fu wu qi 	服務器	c=6 d=4.81999 t=6947
fu ze 	負責	c=1 d=0.519442 t=6947
fu zhou 	福州	c=3 d=2.72381 t=6947
gai 	改	c=3 d=1.77473 t=6947
gai 	該	c=3 d=2.46008 t=6947
gai cheng 	改成	c=12 d=8.57784 t=6947
gai jin 	改進	c=1 d=0.324652 t=6947
gai jin 	該進	c=1 d=0.315058 t=6947
gai si 	該死	c=1 d=1 t=6947
gan 	感	c=1 d=0.637628 t=6947
gan jue 	感覺	c=5 d=2.46217 t=6947
gan ma 	幹嘛	c=1 d=0.980199 t=6947
gang 	剛	c=2 d=1.79489 t=6947
gang ling 	綱領	c=1 d=0.865022 t=6947
gao 	搞	c=12 d=6.26543 t=6947
gao 	高	c=1 d=0.985112 t=6947
gao duan 	高端	c=1 d=0.29523 t=6947
gao ge 	搞個	c=1 d=0.843665 t=6947
gao ji 	高級	c=4 d=2.92644 t=6947
gao pin 	高頻	c=1 d=0.918512 t=6947
gao wan 	睾丸	c=1 d=0.932394 t=6947
gao zhi liang 	高質量	c=1 d=0.657047 t=6947
ge 	個	c=18 d=7.11318 t=6947
ge ji 	歌姬	c=2 d=1.99005 t=6947
ge li 	隔離	c=1 d=0.474734 t=6947
ge shi 	格式	c=4 d=3.41751 t=6947
ge shi hua 	格式化	c=1 d=1 t=6947
gei 	給	c=6 d=4.87947 t=6947
gen 	根	c=1 d=0.778801 t=6947
gen duo 	根多	c=1 d=0.733447 t=6947
gen ju 	根據	c=1 d=0.798516 t=6947
geng 	更	c=3 d=2.22535 t=6947
geng gai 	更改	c=4 d=3.33986 t=6947
geng huan 	更換	c=4 d=3.30117 t=6947
geng ju 	更具	c=1 d=0.822835 t=6947
geng xin 	更新	c=5 d=2.22559 t=6947
gong 	共	c=1 d=0.918512 t=6947
gong 	工	c=2 d=1.54963 t=6947
gong cheng 	工程	c=3 d=2.14094 t=6947
gong cheng guo cheng 	工程過程	c=1 d=0.621885 t=6947
gong gong 	公共	c=3 d=2.80991 t=6947
gong ji 	攻擊	c=7 d=4.81965 t=6947
gong ju 	工具	c=2 d=1.25924 t=6947
gong kai 	公開	c=1 d=1 t=6947
gong neng 	功能	c=1 d=0.970446 t=6947
gong si 	公司	c=1 d=0.955997 t=6947
gong yao 	公鑰	c=1 d=0.798516 t=6947
gong zuo 	工作	c=11 d=6.19057 t=6947
gou jian 	構建	c=1 d=0.960789 t=6947
gu jian 	固件	c=3 d=1.79861 t=6947
gu zhang 	故障	c=1 d=0.904837 t=6947
gua 	掛	c=2 d=1.56982 t=6947
guai 	怪	c=1 d=0.99005 t=6947
guan 	管	c=1 d=0.458406 t=6947
guan bi 	關閉	c=15 d=8.46346 t=6947
guan cha 	觀察	c=2 d=1.58488 t=6947
guan fang 	官方	c=1 d=0.99005 t=6947
guan ji 	關機	c=1 d=0.99005 t=6947
guan jian 	關鍵	c=0 d=0.099005 t=6947
guan jian zhen 	關鍵幀	c=1 d=0.995012 t=6947
guan li 	管理	c=23 d=5.6418 t=6947
guan li qi 	管理器	c=2 d=1.51593 t=6947
guan lian 	關聯	c=1 d=0.99005 t=6947
guan xi 	關係	c=2 d=1.55411 t=6947
guan yu 	關於	c=1 d=0.548812 t=6947
guan zhu 	關注	c=1 d=0.56836 t=6947
guang huan 	光環	c=1 d=0.946485 t=6947
guang ying 	光影	c=3 d=1.63754 t=6947
gui fan 	規範	c=2 d=0.980032 t=6947
gui hua 	規劃	c=2 d=1.58657 t=6947
gui yi dian 	貴一點	c=1 d=0.99005 t=6947
gui ze 	規則	c=1 d=0.843665 t=6947
gun 	滾	c=3 d=2.28091 t=6947
guo 	過	c=6 d=4.60608 t=6947
guo chan 	國產	c=1 d=0.965605 t=6947
guo cheng 	過程	c=7 d=4.50525 t=6947
guo du 	國度	c=1 d=0.918512 t=6947
guo ji 	國際	c=1 d=0.918512 t=6947
guo ji tian 	過幾天	c=1 d=0.715338 t=6947
guo jia 	國家	c=6 d=2.50129 t=6947
guo jia an quan 	國家安全	c=1 d=0.900325 t=6947
guo lv 	過濾	c=1 d=0.941765 t=6947
guo nei 	國內	c=1 d=0.995012 t=6947
ha ha 	哈哈	c=1 d=1 t=6947
ha ha ha 	哈哈哈	c=1 d=0.771052 t=6947
ha ren 	哈人	c=1 d=0.965605 t=6947
hai 	害	c=2 d=1.94649 t=6947
hai 	還	c=7 d=4.87181 t=6947
hai cha 	還差	c=1 d=0.941765 t=6947
hai dai 	還帶	c=2 d=1.69156 t=6947
hai jing 	海景	c=1 d=0.985112 t=6947
hai ke yi 	還可以	c=2 d=1.85781 t=6947
hai mei 	還沒	c=1 d=0.826959 t=6947
hai mei you 	還沒有	c=1 d=0.960789 t=6947
hai neng 	還能	c=3 d=2.32759 t=6947
hai shi 	還是	c=21 d=9.52137 t=6947
hai xiang 	還想	c=1 d=1 t=6947
hai yao 	還要	c=2 d=1.65634 t=6947
hai yi wei 	還以爲	c=2 d=1.61407 t=6947
hai you 	還有	c=7 d=4.38623 t=6947
hai you xie 	還有些	c=1 d=0.965605 t=6947
han 	喊	c=1 d=0.913931 t=6947
hang 	杭	c=8 d=7.13555 t=6947
hang 	行	c=2 d=1.94176 t=6947
hang gao 	行高	c=2 d=1.72161 t=6947
hao 	好	c=42 d=14.2153 t=6947
hao 	號	c=3 d=1.84805 t=6947
hao bu hao 	好不好	c=1 d=0.847894 t=6947
hao chu 	好處	c=1 d=0.99005 t=6947
hao de 	好的	c=2 d=1.80927 t=6947
hao duo 	好多	c=6 d=2.83319 t=6947
hao e 	好餓	c=1 d=0.941765 t=6947
hao gui 	好貴	c=2 d=1.77883 t=6947
hao hao 	好好	c=1 d=0.99005 t=6947
hao jiu 	好久	c=1 d=0.937067 t=6947
hao kan 	好看	c=8 d=4.53522 t=6947
hao ke pa 	好可怕	c=1 d=0.843665 t=6947
hao le 	好了	c=1 d=0.891366 t=6947
hao li hai 	好厲害	c=2 d=1.89084 t=6947
hao ma fan 	好麻煩	c=2 d=1.80121 t=6947
hao nan 	好難	c=1 d=0.67368 t=6947
hao nan shou 	好難受	c=1 d=0.918512 t=6947
hao ping 	好評	c=1 d=0.995012 t=6947
